"","X1","ratio","SE","df","null","z.ratio","p.value"
"1","Africa / Americas",0.707692307692308,0.245561417265665,Inf,1,-0.996417506262619,0.63809466116446
"2","Africa / Asia",0.415819209039541,0.102216625410098,Inf,1,-3.56970611837696,0.00357381928836443
"3","Africa / Europe",0.821428571428571,0.231159613176369,Inf,1,-0.699012486513146,0.80310912080871
"4","Africa / Oceania",0.766666666666666,0.351452014531882,Inf,1,-0.579611872951225,0.80310912080871
"5","Americas / Asia",0.587570621468917,0.180023264109304,Inf,1,-1.73558606315347,0.27545683993899
"6","Americas / Europe",1.16071428571429,0.389553011583557,Inf,1,0.444067227482274,0.82124247476722
"7","Americas / Oceania",1.08333333333333,0.534677126525559,Inf,1,0.162178123976379,0.878112353413729
"8","Asia / Europe",1.97544642857146,0.453335624432889,Inf,1,2.96661638412064,0.0150548189503609
"9","Asia / Oceania",1.84375000000003,0.790054546980806,Inf,1,1.42776102703909,0.383401634940482
"10","Europe / Oceania",0.933333333333332,0.419876525059803,Inf,1,-0.153362578943855,0.878112353413729
