"","X1","ratio","SE","df","null","z.ratio","p.value"
"1","Africa / Americas",0.692307692307693,0.244319028121918,Inf,1,-1.04199290530034,0.609263608919792
"2","Africa / Asia",0.39473684210525,0.100764574011421,Inf,1,-3.64137984535129,0.0027118068352818
"3","Africa / Europe",0.803571428571429,0.231971090299403,Inf,1,-0.757561614275451,0.641019238869808
"4","Africa / Oceania",0.6,0.298568010916872,Inf,1,-1.02655128162719,0.609263608919792
"5","Americas / Asia",0.570175438596472,0.175246119754752,Inf,1,-1.82789174195294,0.225219335592013
"6","Americas / Europe",1.16071428571429,0.389553011583557,Inf,1,0.444067227482273,0.729993310904196
"7","Americas / Oceania",0.866666666666667,0.456070170039655,Inf,1,-0.271933442050083,0.785673196779051
"8","Asia / Europe",2.03571428571435,0.46979655186626,Inf,1,3.08022886454236,0.0103420793306251
"9","Asia / Oceania",1.52000000000005,0.708952271092221,Inf,1,0.897718696921596,0.615559231684787
"10","Europe / Oceania",0.746666666666667,0.362509769983284,Inf,1,-0.601717655871523,0.684202619180615
