"","factor","taxa","tips","node","clade","other","check"
"1",1,"Rhinolophus osgoodi, Rhinolophus affinis, Rhinolophus coelophyllus, Rhinolophus shameli, Rhinolophus stheno, Rhinolophus rouxii, Rhinolophus thomasi, Rhinolophus sinicus, Rhinolophus megaphyllus, Rhinolophus borneensis, Rhinolophus lepidus, Rhinolophus pusillus, Rhinolophus rex, Rhinolophus macrotis, Rhinolophus malayanus, Rhinolophus rufus",16,609,1522.5625,183.452599388379,"more"
"2",2,"Hipposideros cervinus, Hipposideros pomona, Hipposideros cineraceus, Hipposideros ater, Hipposideros halophyllus, Hipposideros dyacorum, Hipposideros ruber, Hipposideros abae, Hipposideros caffer, Hipposideros fuliginosus",10,635,971.6,224.126126126126,"more"
"3",3,"Eonycteris, Rousettus, Epomops, Epomophorus, Micropteropus, Nanonycteris, Hypsignathus, Myonycteris",14,667,541.857142857143,233.325227963526,"more"
"4",4,"Miniopterus",16,519,486.8125,234.131498470948,"more"
"5",5,"Myotis escalerai, Myotis pequinius, Myotis chinensis, Myotis nattereri, Myotis punicus, Myotis myotis, Myotis blythii, Myotis bechsteinii, Myotis petax, Myotis macrodactylus, Myotis fimbriatus, Myotis pilosus, Myotis daubentonii",13,495,401.692307692308,239.781818181818,"more"
"6",6,"MYSTACINIDAE, NOCTILIONIDAE, MORMOOPIDAE, PHYLLOSTOMIDAE, MOLOSSIDAE, VESPERTILIONIDAE, Nycteris, EMBALLONURIDAE",210,345,85.9380952380952,498.518796992481,"less"
"7",7,"Pipistrellus nanulus, Pipistrellus nathusii, Pipistrellus pygmaeus, Pipistrellus pipistrellus, Pipistrellus hesperidus, Pipistrellus kuhlii, Pipistrellus deserti, Pipistrellus tenuis, Pipistrellus javanicus, Pipistrellus abramus, Nyctalus",15,392,235.733333333333,246.384146341463,"less"
"8",8,"Centurio, Artibeus, Dermanura, Vampyressa, Platyrrhinus, Uroderma, Sturnira, Carollia",21,552,175.095238095238,250.537267080745,"less"
"9",9,"Rhinolophus capensis, Rhinolophus simulator, Rhinolophus denti, Rhinolophus blasii, Rhinolophus euryale, Rhinolophus mehelyi, Rhinolophus mossambicus, Rhinolophus hildebrandtii, Rhinolophus darlingi, Rhinolophus ferrumequinum, Rhinolophus clivosus",11,596,324,243.331325301205,"more"
"10",10,"Glossophaga, Leptonycteris, Anoura, Hylonycteris, Choeroniscus, Trachops, Mimon, Phyllostomus, Tonatia, Phylloderma, Lophostoma, Chrotopterus",16,542,12.1875,257.354740061162,"less"
"11",11,"Coelops, Aselliscus, Hipposideros",12,631,256.5,245.534743202417,"more"
"12",12,"Eidolon, Pteropus, Acerodon",11,657,225.636363636364,246.590361445783,"less"
"13",13,"Neoromicia, Pipistrellus, Nyctophilus",14,411,19.0714285714286,255.571428571429,"less"
"14",14,"Vespertilio, Tylonycteris, Nycticeinops, Vespadelus, Chalinolobus",10,406,160.7,248.477477477477,"less"
"15",15,"Corynorhinus, Euderma, Plecotus, Barbastella, Rhogeessa, Bauerus, Antrozous, Lasiurus, Parastrellus",18,440,25.8888888888889,258.104615384615,"less"
"16",16,"Scoteanax, Kerivoula, Harpiola, Murina, Scotorepens",12,462,22.3333333333333,254.02416918429,"less"
"17",17,"Scotophilus, Glauconycteris, Eptesicus, Lasionycteris, Ia, Scotomanes",18,387,114.166666666667,253.215384615385,"less"
"18",18,"NYCTERIDAE, EMBALLONURIDAE",13,347,113.538461538462,251.133333333333,"less"
"19",19,"Myotis aurascens, Myotis ikonnikovi, Myotis altarium, Myotis dasycneme, Myotis muricola, Myotis secundus, Myotis occultus, Myotis horsfieldii, Myotis macropus, Myotis adversus, Myotis capaccinii, Myotis longipes, Myotis laniger, Myotis siligorensis, Myotis davidii",15,492,46.5333333333333,255.036585365854,"less"
"20",20,"MOLOSSIDAE, VESPERTILIONIDAE",45,359,70.6888888888889,272.379194630872,"less"
"21",21,"Mormopterus beccarii, Mormopterus norfolkensis, Tadarida brasiliensis, Otomops, Nyctinomops, Molossops, Cynomops, Molossus, Eumops, Tadarida teniotis, Tadarida australis, Mormopterus acetabulosus",17,368,51.7058823529412,256.046012269939,"less"
"22",22,"Myotis mystacinus, Myotis alcathoe, Myotis elegans, Myotis riparius, Myotis keaysi, Myotis yumanensis, Myotis velifer, Myotis nigricans, Myotis brandtii, Myotis volans, Myotis ciliolabrum, Myotis californicus, Myotis lucifugus, Myotis evotis, Myotis thysanodes",15,475,59.4,254.448170731707,"less"
"23",23,"RHINOLOPHIDAE, HIPPOSIDERIDAE",12,592,75,252.114803625378,"less"
"24",24,"Rhinolophus rouxii, Rhinolophus thomasi, Rhinolophus sinicus, Rhinolophus megaphyllus, Rhinolophus borneensis, Rhinolophus lepidus, Rhinolophus pusillus, Rhinolophus rex, Rhinolophus macrotis, Rhinolophus malayanus",10,610,2005.8,193.069069069069,"more"
"25",25,"Rhinolophus rouxii, Rhinolophus thomasi, Rhinolophus sinicus",3,611,5509,199.479411764706,"more"
"26",26,"Rhinolophus rouxii",1,22,12,246.602339181287,"less"
"27",27,"Rhinolophus sinicus",1,24,16499,198.394736842105,"more"
"28",28,"Hipposideros pomona, Hipposideros cineraceus, Hipposideros ater, Hipposideros halophyllus, Hipposideros dyacorum, Hipposideros ruber, Hipposideros abae, Hipposideros caffer, Hipposideros fuliginosus",9,636,1071.11111111111,223.682634730539,"more"
"29",29,"Hipposideros pomona, Hipposideros cineraceus, Hipposideros ater, Hipposideros halophyllus, Hipposideros dyacorum",5,637,571.2,241.10650887574,"more"
"30",30,"Hipposideros pomona, Hipposideros cineraceus, Hipposideros ater, Hipposideros halophyllus",4,638,705.5,240.495575221239,"more"
"31",31,"Hipposideros pomona, Hipposideros cineraceus",2,639,1380,239.266862170088,"more"
"32",32,"Hipposideros cineraceus",1,55,34,246.538011695906,"less"
"33",33,"Eonycteris",1,77,1461,242.365497076023,"more"
"34",34,"Epomops, Epomophorus, Micropteropus, Nanonycteris, Hypsignathus, Myonycteris, Rousettus lanosus",9,669,61.5555555555556,250.88622754491,"less"
"35",35,"Epomops, Epomophorus, Micropteropus, Nanonycteris, Hypsignathus, Myonycteris",8,670,68.5,250.155223880597,"less"
"36",36,"Myonycteris",1,89,139,246.230994152047,"less"
"37",37,"Epomops, Epomophorus, Micropteropus, Nanonycteris",6,672,67.1666666666667,249.100890207715,"less"
"38",38,"Epomops",1,82,3,246.62865497076,"less"
"39",39,"Epomophorus, Micropteropus",4,674,99.75,247.643067846608,"less"
