"","X1","odds.ratio","SE","df","null","z.ratio","p.value"
"1","Africa / Americas",2.58695652173913,1.3675245576526,Inf,1,1.79803415221617,0.125110278343005
"2","Africa / Asia",0.730434782608696,0.316382112579752,Inf,1,-0.725201436203564,0.585410577377959
"3","Africa / Europe",0.730434782608695,0.316382112579752,Inf,1,-0.725201436203564,0.585410577377959
"4","Africa / Oceania",4.10869565212791,3.26169983687366,Inf,1,1.7800598465055,0.125110278343005
"5","Americas / Asia",0.28235294117647,0.149598825548328,Inf,1,-2.38680217820388,0.0743485306640411
"6","Americas / Europe",0.28235294117647,0.149598825548328,Inf,1,-2.38680217820388,0.0743485306640411
"7","Americas / Oceania",1.58823529409986,1.35075577618894,Inf,1,0.543958440432548,0.651633413416998
"8","Asia / Europe",1,0.434613493680045,Inf,1,-5.1090131381999e-16,1
"9","Asia / Oceania",5.62499999993703,4.46994341188202,Inf,1,2.17354380975185,0.0743485306640411
"10","Europe / Oceania",5.62499999993703,4.46994341188202,Inf,1,2.17354380975185,0.0743485306640411
