"","factor","taxa","tips","node","clade","other"
"1",1,"Myotis escalerai, Myotis pequinius, Myotis chinensis, Myotis nattereri, Myotis punicus, Myotis myotis, Myotis blythii, Myotis bechsteinii, Myotis petax, Myotis macrodactylus, Myotis fimbriatus, Myotis pilosus, Myotis daubentonii",13,495,6.92307692307692,2.83939393939394
"2",2,"Pipistrellus nanulus, Pipistrellus nathusii, Pipistrellus pygmaeus, Pipistrellus pipistrellus, Pipistrellus hesperidus, Pipistrellus kuhlii, Pipistrellus deserti, Pipistrellus tenuis, Pipistrellus javanicus, Pipistrellus abramus, Nyctalus",15,392,6,2.85670731707317
"3",3,"RHINOLOPHIDAE",35,593,4.48571428571429,2.82467532467532
